Instruction	ControlFlow	StakBehaviourPop	StackBehaviourPush
nop	Next	Pop0	Push0
break	Break	Pop0	Push0
ldarg.0	Next	Pop0	Push1
ldarg.1	Next	Pop0	Push1
ldarg.2	Next	Pop0	Push1
ldarg.3	Next	Pop0	Push1
ldloc.0	Next	Pop0	Push1
ldloc.1	Next	Pop0	Push1
ldloc.2	Next	Pop0	Push1
ldloc.3	Next	Pop0	Push1
stloc.0	Next	Pop1	Push0
stloc.1	Next	Pop1	Push0
stloc.2	Next	Pop1	Push0
stloc.3	Next	Pop1	Push0
ldarg.s	Next	Pop0	Push1
ldarga.s	Next	Pop0	Pushi
starg.s	Next	Pop1	Push0
ldloc.s	Next	Pop0	Push1
ldloca.s	Next	Pop0	Pushi
stloc.s	Next	Pop1	Push0
ldnull	Next	Pop0	Pushref
ldc.i4.m1	Next	Pop0	Pushi
ldc.i4.0	Next	Pop0	Pushi
ldc.i4.1	Next	Pop0	Pushi
ldc.i4.2	Next	Pop0	Pushi
ldc.i4.3	Next	Pop0	Pushi
ldc.i4.4	Next	Pop0	Pushi
ldc.i4.5	Next	Pop0	Pushi
ldc.i4.6	Next	Pop0	Pushi
ldc.i4.7	Next	Pop0	Pushi
ldc.i4.8	Next	Pop0	Pushi
ldc.i4.s	Next	Pop0	Pushi
ldc.i4	Next	Pop0	Pushi
ldc.i8	Next	Pop0	Pushi8
ldc.r4	Next	Pop0	Pushr4
ldc.r8	Next	Pop0	Pushr8
dup	Next	Pop1	Push1_push1
pop	Next	Pop1	Push0
jmp	Call	Pop0	Push0
call	Call	Varpop	Varpush
calli	Call	Varpop	Varpush
ret	Return	Varpop	Push0
br.s	Branch	Pop0	Push0
brfalse.s	Cond_Branch	Popi	Push0
brtrue.s	Cond_Branch	Popi	Push0
beq.s	Cond_Branch	Pop1_pop1	Push0
bge.s	Cond_Branch	Pop1_pop1	Push0
bgt.s	Cond_Branch	Pop1_pop1	Push0
ble.s	Cond_Branch	Pop1_pop1	Push0
blt.s	Cond_Branch	Pop1_pop1	Push0
bne.un.s	Cond_Branch	Pop1_pop1	Push0
bge.un.s	Cond_Branch	Pop1_pop1	Push0
bgt.un.s	Cond_Branch	Pop1_pop1	Push0
ble.un.s	Cond_Branch	Pop1_pop1	Push0
blt.un.s	Cond_Branch	Pop1_pop1	Push0
br	Branch	Pop0	Push0
brfalse	Cond_Branch	Popi	Push0
brtrue	Cond_Branch	Popi	Push0
beq	Cond_Branch	Pop1_pop1	Push0
bge	Cond_Branch	Pop1_pop1	Push0
bgt	Cond_Branch	Pop1_pop1	Push0
ble	Cond_Branch	Pop1_pop1	Push0
blt	Cond_Branch	Pop1_pop1	Push0
bne.un	Cond_Branch	Pop1_pop1	Push0
bge.un	Cond_Branch	Pop1_pop1	Push0
bgt.un	Cond_Branch	Pop1_pop1	Push0
ble.un	Cond_Branch	Pop1_pop1	Push0
blt.un	Cond_Branch	Pop1_pop1	Push0
switch	Cond_Branch	Popi	Push0
ldind.i1	Next	Popi	Pushi
ldind.u1	Next	Popi	Pushi
ldind.i2	Next	Popi	Pushi
ldind.u2	Next	Popi	Pushi
ldind.i4	Next	Popi	Pushi
ldind.u4	Next	Popi	Pushi
ldind.i8	Next	Popi	Pushi8
ldind.i	Next	Popi	Pushi
ldind.r4	Next	Popi	Pushr4
ldind.r8	Next	Popi	Pushr8
ldind.ref	Next	Popi	Pushref
stind.ref	Next	Popi_popi	Push0
stind.i1	Next	Popi_popi	Push0
stind.i2	Next	Popi_popi	Push0
stind.i4	Next	Popi_popi	Push0
stind.i8	Next	Popi_popi8	Push0
stind.r4	Next	Popi_popr4	Push0
stind.r8	Next	Popi_popr8	Push0
add	Next	Pop1_pop1	Push1
sub	Next	Pop1_pop1	Push1
mul	Next	Pop1_pop1	Push1
div	Next	Pop1_pop1	Push1
div.un	Next	Pop1_pop1	Push1
rem	Next	Pop1_pop1	Push1
rem.un	Next	Pop1_pop1	Push1
and	Next	Pop1_pop1	Push1
or	Next	Pop1_pop1	Push1
xor	Next	Pop1_pop1	Push1
shl	Next	Pop1_pop1	Push1
shr	Next	Pop1_pop1	Push1
shr.un	Next	Pop1_pop1	Push1
neg	Next	Pop1	Push1
not	Next	Pop1	Push1
conv.i1	Next	Pop1	Pushi
conv.i2	Next	Pop1	Pushi
conv.i4	Next	Pop1	Pushi
conv.i8	Next	Pop1	Pushi8
conv.r4	Next	Pop1	Pushr4
conv.r8	Next	Pop1	Pushr8
conv.u4	Next	Pop1	Pushi
conv.u8	Next	Pop1	Pushi8
callvirt	Call	Varpop	Varpush
cpobj	Next	Popi_popi	Push0
ldobj	Next	Popi	Push1
ldstr	Next	Pop0	Pushref
newobj	Call	Varpop	Pushref
castclass	Next	Popref	Pushref
isinst	Next	Popref	Pushi
conv.r.un	Next	Pop1	Pushr8
unbox	Next	Popref	Pushi
throw	Throw	Popref	Push0
ldfld	Next	Popref	Push1
ldflda	Next	Popref	Pushi
stfld	Next	Popref_pop1	Push0
ldsfld	Next	Pop0	Push1
ldsflda	Next	Pop0	Pushi
stsfld	Next	Pop1	Push0
stobj	Next	Popi_pop1	Push0
conv.ovf.i1.un	Next	Pop1	Pushi
conv.ovf.i2.un	Next	Pop1	Pushi
conv.ovf.i4.un	Next	Pop1	Pushi
conv.ovf.i8.un	Next	Pop1	Pushi8
conv.ovf.u1.un	Next	Pop1	Pushi
conv.ovf.u2.un	Next	Pop1	Pushi
conv.ovf.u4.un	Next	Pop1	Pushi
conv.ovf.u8.un	Next	Pop1	Pushi8
conv.ovf.i.un	Next	Pop1	Pushi
conv.ovf.u.un	Next	Pop1	Pushi
box	Next	Pop1	Pushref
newarr	Next	Popi	Pushref
ldlen	Next	Popref	Pushi
ldelema	Next	Popref_popi	Pushi
ldelem.i1	Next	Popref_popi	Pushi
ldelem.u1	Next	Popref_popi	Pushi
ldelem.i2	Next	Popref_popi	Pushi
ldelem.u2	Next	Popref_popi	Pushi
ldelem.i4	Next	Popref_popi	Pushi
ldelem.u4	Next	Popref_popi	Pushi
ldelem.i8	Next	Popref_popi	Pushi8
ldelem.i	Next	Popref_popi	Pushi
ldelem.r4	Next	Popref_popi	Pushr4
ldelem.r8	Next	Popref_popi	Pushr8
ldelem.ref	Next	Popref_popi	Pushref
stelem.i	Next	Popref_popi_popi	Push0
stelem.i1	Next	Popref_popi_popi	Push0
stelem.i2	Next	Popref_popi_popi	Push0
stelem.i4	Next	Popref_popi_popi	Push0
stelem.i8	Next	Popref_popi_popi8	Push0
stelem.r4	Next	Popref_popi_popr4	Push0
stelem.r8	Next	Popref_popi_popr8	Push0
stelem.ref	Next	Popref_popi_popref	Push0
ldelem.any	Next	Popref_popi	Push1
stelem.any	Next	Popref_popi_popref	Push0
unbox.any	Next	Popref	Push1
conv.ovf.i1	Next	Pop1	Pushi
conv.ovf.u1	Next	Pop1	Pushi
conv.ovf.i2	Next	Pop1	Pushi
conv.ovf.u2	Next	Pop1	Pushi
conv.ovf.i4	Next	Pop1	Pushi
conv.ovf.u4	Next	Pop1	Pushi
conv.ovf.i8	Next	Pop1	Pushi8
conv.ovf.u8	Next	Pop1	Pushi8
refanyval	Next	Pop1	Pushi
ckfinite	Next	Pop1	Pushr8
mkrefany	Next	Popi	Push1
ldtoken	Next	Pop0	Pushi
conv.u2	Next	Pop1	Pushi
conv.u1	Next	Pop1	Pushi
conv.i	Next	Pop1	Pushi
conv.ovf.i	Next	Pop1	Pushi
conv.ovf.u	Next	Pop1	Pushi
add.ovf	Next	Pop1_pop1	Push1
add.ovf.un	Next	Pop1_pop1	Push1
mul.ovf	Next	Pop1_pop1	Push1
mul.ovf.un	Next	Pop1_pop1	Push1
sub.ovf	Next	Pop1_pop1	Push1
sub.ovf.un	Next	Pop1_pop1	Push1
endfinally	Return	Pop0	Push0
leave	Branch	PopAll	Push0
leave.s	Branch	PopAll	Push0
stind.i	Next	Popi_popi	Push0
conv.u	Next	Pop1	Pushi
arglist	Next	Pop0	Pushi
ceq	Next	Pop1_pop1	Pushi
cgt	Next	Pop1_pop1	Pushi
cgt.un	Next	Pop1_pop1	Pushi
clt	Next	Pop1_pop1	Pushi
clt.un	Next	Pop1_pop1	Pushi
ldftn	Next	Pop0	Pushi
ldvirtftn	Next	Popref	Pushi
ldarg	Next	Pop0	Push1
ldarga	Next	Pop0	Pushi
starg	Next	Pop1	Push0
ldloc	Next	Pop0	Push1
ldloca	Next	Pop0	Pushi
stloc	Next	Pop1	Push0
localloc	Next	Popi	Pushi
endfilter	Return	Popi	Push0
unaligned.	Meta	Pop0	Push0
volatile.	Meta	Pop0	Push0
tail.	Meta	Pop0	Push0
initobj	Next	Popi	Push0
constrained.	Next	Pop0	Push0
cpblk	Next	Popi_popi_popi	Push0
initblk	Next	Popi_popi_popi	Push0
no.	Next	Pop0	Push0
rethrow	Throw	Pop0	Push0
sizeof	Next	Pop0	Pushi
refanytype	Next	Pop1	Pushi
readonly.	Next	Pop0	Push0
